OBJECTID,STATE_CODE,STRUCTURE_,RECORD_TYP,ROUTE_PREF,SERVICE_LE,ROUTE_NUMB,DIRECTION_,HIGHWAY_DI,COUNTY_COD,PLACE_CODE,FEATURES_D,CRITICAL_F,FACILITY_C,LOCATION_0,MIN_VERT_C,KILOPOINT_,BASE_HWY_N,LRS_INV_RO,SUBROUTE_N,LAT_016,LONG_017,DETOUR_KIL,TOLL_020,MAINTENANC,OWNER_022,FUNCTIONAL,YEAR_BUILT,TRAFFIC_LA,TRAFFIC__1,ADT_029,YEAR_ADT_0,DESIGN_LOA,APPR_WIDTH,MEDIAN_COD,DEGREES_SK,STRUCTURE1,RAILINGS_0,TRANSITION,APPR_RAIL_,APPR_RAIL1,HISTORY_03,NAVIGATION,NAV_VERT_C,NAV_HORR_C,OPEN_CLOSE,SERVICE_ON,SERVICE_UN,STRUCTUR_1,STRUCTUR_2,APPR_KIND_,APPR_TYPE_,MAIN_UNIT_,APPR_SPANS,HORR_CLR_M,MAX_SPAN_L,STRUCTUR_3,LEFT_CURB_,RIGHT_CURB,ROADWAY_WI,DECK_WIDTH,VERT_CLR_O,VERT_CLR_U,VERT_CLR_1,LAT_UND_RE,LAT_UND_MT,LEFT_LAT_U,SUPERSTRUC,SUBSTRUCTU,CHANNEL_CO,CULVERT_CO,OPR_RATING,OPERATING_,INV_RATING,INVENTORY_,STRUCTURAL,DECK_GEOME,UNDCLRENCE,POSTING_EV,WATERWAY_E,APPR_ROAD_,WORK_PROPO,WORK_DONE_,IMP_LEN_MT,DATE_OF_IN,INSPECT_FR,FRACTURE_0,UNDWATER_L,SPEC_INSPE,FRACTURE_L,UNDWATER_1,SPEC_LAST_,BRIDGE_IMP,ROADWAY_IM,TOTAL_IMP_,YEAR_OF_IM,OTHER_STAT,OTHER_ST_1,OTHR_STATE,STRAHNET_H,PARALLEL_S,TRAFFIC_DI,TEMP_STRUC,HIGHWAY_SY,FEDERAL_LA,YEAR_RECON,DECK_STRUC,SURFACE_TY,MEMBRANE_T,DECK_PROTE,PERCENT_AD,NATIONAL_N,PIER_PROTE,BRIDGE_LEN,SCOUR_CRIT,FUTURE_ADT,YEAR_OF_FU,MIN_NAV_CL,FED_AGENCY,SUBMITTED_,BRIDGE_CON_SHORT,DECK_COND_CODE,LOWEST_RAT,DECK_AREA,STATUS,DATE,LATDD,LONGDD,BRIDGE_CON,DECK_CON
23,12,710030,1,4,1,209,0,2,19,0,BAYARD CREEK,0,CR 209,4.1 MI SOUTH OF US 17,99.99,1.619,0,71550000,0,29542840,81383700,5,3,2,2,9,1950,2,0,619,2022,0,6.2,0,0,0,N,N,0,1,5,0,0,0,A,1,5,3,19,0,0,2,0,8.6,3,7.3,0,0,0,0,99.99,N,0,N,0,0,N,N,7,5,3,99.9,3,99.9,5,N,N,5,7,7, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,10,0, ,Y,8,1074,2042,0,N,12,F,N,5,45.26,AM,503,29.90835,-81.643744,Fair,N/A
24,12,710031,1,4,1,217,0,2,19,0,LONG BRANCH,0,CR 217,2.6 MI NORTH OF CR 218,99.99,4.146,0,71506000,0,30104600,81593000,4,3,2,2,8,1950,2,0,3500,2022,2,6.9,0,0,0,0,0,0,0,5,0,0,0,P,1,5,1,1,0,0,6,0,7.3,6.1,36.6,0.2,0.2,7.3,7.8,99.99,N,0,N,0,0,6,6,6,N,1,11.8,1,7.4,3,2,N,0,8,7, , ,0,922,24,N,Y24,Y12, ,922,922,0,0,0,0, ,0, ,0,N,2, ,0,0,0,1,0,0,0,1,0, ,Y,3,6073,2042,0,N,12,F,6,6,285.48,AM,1202,30.179397,-81.991717,Fair,Fair
25,12,710032,1,3,1,16,0,2,19,27400,GOVERNORS CREEK,0,SR-16,0.4 MI. W. OF CR-15A,99.99,35.504,1,71050000,0,29590300,81421000,31,3,1,1,14,1955,2,0,13700,2021,2,12.2,0,0,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,0,4,0,19.1,3,13.4,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,1,75.5,1,45.2,6,N,N,5,8,8, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,1,0,1976,N,N,N,N,13,0, ,Y,8,23770,2042,0,N,12,F,N,6,163.48,MM,603,29.984142,-81.702639,Fair,N/A
26,12,710033,1,3,1,16,0,2,19,0,N. FORK OF BLACK CREEK,0,SR-16 EB,0.6 MI. E. OF SR-215,99.99,9.815,1,71050000,0,29585330,81580198,2,3,1,1,2,1942,2,0,2300,2021,4,9.2,0,0,0,1,1,1,1,4,0,0,0,A,1,5,1,1,0,0,12,0,8.4,4.6,54.9,0,0,8.4,9.5,99.99,N,0,N,0,0,7,7,7,N,1,51.7,1,30.8,7,3,N,5,8,8, , ,0,522,24,N,N,N, , , ,0,0,0,0, ,0, ,3,R,1, ,1,0,0,1,6,0,0,8,0, ,Y,8,3990,2043,0,N,12,G,7,7,521.55,AM,1202,29.981464,-81.96715,Good,Good
27,12,710036,1,3,1,21,0,2,19,0,CLEAR CUT CREEK,0,SR-21,0.7 MI. S. OF SR-16,99.99,35.628,1,71110000,0,29580636,81535176,21,3,1,1,6,1934,2,0,8600,2021,2,10.5,0,0,0,0,0,1,1,3,0,0,0,A,1,5,1,19,0,0,2,0,10.5,3,6.4,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,1,70.5,1,42.2,6,N,N,5,8,8, , ,0,1022,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,9,0, ,Y,8,14921,2043,0,N,12,F,N,6,67.2,AM,503,29.968436,-81.897706,Fair,N/A
28,12,710039,1,3,1,21,0,2,19,0,CLAY PIT CREEK,0,SR-21,4.7 MI. S. OF SR-16,99.99,29.137,1,71110000,0,29543536,81535055,21,3,1,1,6,1934,2,0,8600,2021,0,10.5,0,0,0,N,N,1,1,3,0,0,0,A,1,5,1,19,0,0,3,0,11,3,9.8,0,0,0,0,99.99,N,0,N,0,0,N,N,6,7,3,69.6,3,53.9,7,N,N,5,8,8, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,9,0, ,Y,8,14921,2043,0,N,12,G,N,7,102.9,AM,1202,29.912358,-81.897336,Good,N/A
29,12,710044,1,2,1,17,0,2,19,0,HALLERD CREEK,0,US-17 (SR-15),150 FT. N. OF CR-226 E.,99.99,9.448,1,71010000,0,29551508,81405829,32,3,1,1,2,1962,5,0,9700,2021,2,18.9,1,32,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,2,0,16.8,3,7.6,0,0,0,0,99.99,N,0,N,0,0,N,N,6,7,1,61.6,1,37.1,7,N,N,5,8,8, , ,0,1022,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,1,0,1994,N,N,N,N,13,0, ,Y,8,16830,2043,0,N,12,G,N,7,143.64,MM,603,29.917597,-81.682975,Good,N/A
30,12,710048,1,4,1,218,0,2,19,0,N FORK BLACK CREEK,0,CR 218,4.5 MI EAST OF US 301,99.99,7.183,0,71120000,0,30064900,81590100,19,3,2,2,7,1948,2,0,13500,2022,2,6.9,0,0,0,0,0,0,0,5,0,0,0,P,1,5,1,1,0,0,14,0,7.3,4.6,64,0,0,7.3,9,99.99,N,0,N,0,0,6,5,5,N,1,25.5,1,15.3,3,2,N,3,7,8, , ,0,922,24,N,Y24,Y12, ,922,922,0,0,0,0, ,0, ,0,N,2, ,0,0,0,1,0,0,0,2,0, ,Y,3,23423,2042,0,N,12,F,6,5,576,AM,1202,30.113517,-81.983164,Fair,Fair
31,12,710049,1,2,1,17,0,2,19,52125,DOCTORS INLET,0,US-17 (SR-15),S. OF ORANGE PARK,99.99,18.219,1,71020000,0,30085836,81420315,11,3,1,1,14,1971,6,0,58000,2021,5,31.1,3,0,0,1,1,1,1,5,1,11.4,18.4,A,1,5,5,2,0,0,22,0,16.8,32,571.5,3,1.8,33.6,40.5,99.99,N,0,N,0,0,7,6,7,N,3,38.6,3,33.9,6,9,N,5,8,8, , ,0,721,24,N,Y23,N, ,721, ,0,0,0,0, ,0, ,0,N,2, ,1,0,2010,1,0,0,0,7,0,2,Y,5,100630,2043,0,N,12,F,7,6,23145.75,MM,603,30.151119,-81.7006,Fair,Good
32,12,710050,1,2,1,17,0,2,19,0,BLACK CREEK,0,US-17 NB (SR-15),N. OF GREEN COVE SPRINGS,99.99,6.31,1,71020000,0,30022817,81423148,1,3,1,1,14,1973,2,0,17250,2021,4,9.1,0,0,0,1,1,1,1,5,1,9.1,18.4,A,1,5,5,2,0,0,17,0,12.2,29,446.5,0,0,12.2,12.8,99.99,N,0,N,0,0,7,6,7,N,1,59.1,1,28.1,6,7,N,5,8,8, , ,0,921,24,N,Y23,N, ,921, ,0,0,0,0, ,0, ,0,R,1, ,1,0,0,1,0,0,0,7,0,2,Y,8,29929,2043,0,N,12,F,7,6,5715.2,AM,503,30.039517,-81.709028,Fair,Good
